geo_value,time_value,confirmed_cumulative_cases,confirmed_deaths,daily_cases,completely_home_prop,confirmed_cases_uf,confirmed_deaths_uf,cfr,cfr_uf,location,location_name,Population,intercept,slope,R_sq,p0,p1,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths,smoothed_pct_contact_covid_positive,smoothed_pct_cli,smoothed_pct_avoid_contact_all_or_most_time,smoothed_pct_could_not_get_tested,smoothed_pct_self_none_of_above,smoothed_pct_tested_and_positive,smoothed_pct_cmnty_cli,pos_contact,avoid_contact,excess_demand,active_cases,p_hat_t,p_hat_t_2,TC_CFR_N,X1
ak,2020-04-12,272,5,12.571428571429,0.45418843662092,273,8,0.0183823529411765,0.0293040293040293,2,Alaska,731545,0.169479229683826,0.255877148201528,0.880532898202857,0.169479229683826,0.425356377885354,40,0.779369216199328,0.779028787530896,0.715483171783956,0.851346369010047,5.24309374645602,10.2821221627163,19.8221744950099,15,306,306,15,0,0.6156,0.7928,82.7806,6.1658,55.5939,0,,0.006156,0.827806,2.7379913138,0.007928,0.61870413177206,0.54581156337908,2.98323361279296e-05,1.84573896227629e-05
ak,2020-04-13,277,5,12.428571428571,0.35734224136214,278,8,0.0180505415162455,0.0287769784172662,2,Alaska,731545,0.169479229683826,0.255877148201528,0.880532898202857,0.169479229683826,0.425356377885354,41,0.788141815356415,0.78666134554975,0.724136798154685,0.863260211860955,4.99189050938984,9.92000757376517,6.60739149833662,5,0,-208,5,0,0.7395,0.6632,83.7537,6.1196,56.153,0,,0.007395,0.837537,2.683261012,0.006632,0.616214191242911,0.64265775863786,2.92379442847259e-05,1.80168361910176e-05
ak,2020-04-14,285,5,10.428571428571,0.40886068654408,286,9,0.0175438596491228,0.0314685314685315,2,Alaska,731545,0.169479229683826,0.255877148201528,0.880532898202857,0.169479229683826,0.425356377885354,42,0.796723521839416,0.795025395234554,0.708916252937304,0.856995842908647,4.75997805296648,9.54911360588759,10.5718263973386,8,518,518,8,1,0.8638,0.5825,82.7586,5.6453,55.9034,0,,0.008638,0.827586,2.4893853598,0.005825,0.618760424744664,0.59113931345592,3.05191491113572e-05,1.88840416669892e-05
ak,2020-04-15,293,5,9.7142857142857,0.36686349844381,294,9,0.0170648464163823,0.0306122448979592,2,Alaska,731545,0.169479229683826,0.255877148201528,0.880532898202857,0.169479229683826,0.425356377885354,43,0.808061455487964,0.808217495874841,0.739296455509296,0.889144139895202,4.54722582882939,9.18364029928475,10.5718263973386,8,316,316,8,0,0.8733,0.6409,81.3143,5.6706,56.4818,0,,0.008733,0.813143,2.4677430492,0.006409,0.622456058396139,0.63313650155619,3.02567091405623e-05,1.88334719116728e-05
ak,2020-04-16,300,5,9.2857142857143,0.34934723075684,301,9,0.0166666666666667,0.0299003322259136,2,Alaska,731545,0.169479229683826,0.255877148201528,0.880532898202857,0.169479229683826,0.425356377885354,44,0.817654940012955,0.816542559957732,0.74524695515529,0.900324805111294,4.35273622949512,8.80230330708756,9.25034809767126,7,71,71,7,0,0.9562,0.6435,80.8059,6.1613,56.9629,0,,0.009562,0.808059,2.6516448423,0.006435,0.623756937817596,0.65065276924316,3.25140880177844e-05,2.0280887977905e-05
ak,2020-04-17,309,5,9,0.37831464178819,310,9,0.0161812297734628,0.0290322580645161,2,Alaska,731545,0.169479229683826,0.255877148201528,0.880532898202857,0.169479229683826,0.425356377885354,45,0.828975550890387,0.828090216827025,0.74689333864658,0.903327919820499,4.17592361812992,8.43077845567614,11.8933046970059,9,715,715,9,0,0.8434,0.852,81.0096,5.4628,56.5834,0,,0.008434,0.810096,2.3717620248,0.00852,0.623235716066709,0.62168535821181,2.90850195354057e-05,1.81268229769628e-05
ak,2020-04-18,314,5,8.1428571428571,0.38717140470828,315,9,0.0159235668789809,0.0285714285714286,2,Alaska,731545,0.169479229683826,0.255877148201528,0.880532898202857,0.169479229683826,0.425356377885354,46,0.840517033524277,0.839206387699131,0.75803307872996,0.909718039415329,4.0156925452969,8.06762418711684,6.60739149833662,5,205,205,5,0,0.7956,0.8037,81.6327,5.0697,57.0688,0,,0.007956,0.816327,2.1764830464,0.008037,0.621641345556265,0.61282859529172,2.66916760933406e-05,1.65926494418163e-05
ak,2020-04-19,319,5,6.7142857142857,0.34166799953106,320,9,0.0156739811912226,0.028125,2,Alaska,731545,0.169479229683826,0.255877148201528,0.880532898202857,0.169479229683826,0.425356377885354,47,0.854947599584735,0.8560582385798,0.778213757828459,0.931367552891332,3.87082785048127,7.71863378279121,6.60739149833662,5,240,240,5,0,0.8197,0.7248,81.9018,4.8393,57.5223,0,,0.008197,0.819018,2.0556233361,0.007248,0.620952780150455,0.65833200046894,2.52107465960019e-05,1.5654683188456e-05
ak,2020-04-20,321,5,6.2857142857143,0.3742851840416,322,9,0.0155763239875389,0.0279503105590062,2,Alaska,731545,0.169479229683826,0.255877148201528,0.880532898202857,0.169479229683826,0.425356377885354,48,0.870685625451776,0.872906562198455,0.79481442541628,0.95440229370537,3.74071948742703,7.37237208141888,2.64295659933465,2,229,229,2,0,0.6898,0.8137,80.4822,4.666,57.9725,0,,0.006898,0.804822,1.96100315,0.008137,0.624585212146324,0.6257148159584,2.40507661223169e-05,1.50217528607889e-05
ak,2020-04-21,329,5,6.2857142857143,0.3030508077539,330,9,0.0151975683890578,0.0272727272727273,2,Alaska,731545,0.169479229683826,0.255877148201528,0.880532898202857,0.169479229683826,0.425356377885354,49,0.886944932087585,0.88501076888325,0.79728781366354,0.962860386290109,3.62554183436081,7.04406113600287,10.5718263973386,8,995,995,8,0,0.3742,0.6285,80.3483,4.9538,59.5731,0,16.2624,0.003742,0.803483,2.0026677722,0.006285,0.624927831647766,0.6969491922461,2.45636177375704e-05,1.53504883701644e-05
